codigo;titulo;tipo;revisao;data_revisao;data_aprovacao;setor;area;elaborador;revisor;aprovador;numero;descricao;proxima_revisao;data_validade;documentos_controlados
DEX.041;NR05 - COMISSÃO INTERNA DE PREVENÇÃO DE ACIDENTES E DE ASSÉDIO - CIPA;DEX;1;04/09/2023;04/09/2023;;;;;;;NR 05 - Comissão interna de prevenção de acidentes NR05-COMISSÃOINTERNADEPREVENÇÃODEACIDENTESEDEASSÉDIO-CIPA(PortariaMTPnº4.219,de20dedezembrode2022-Títuloqueentraemvigornodia 20demarçode2023);04/09/2025;04/12/2025;Sim
DEX.042;ICR08043 - ICR Titanium;DEX;1;27/07/2021;27/07/2021;;;;;;;;03/11/2025;02/02/2026;Sim
DEX.043;DQO 04.020 - Standard for Storage and Transportations of lenses NEW Rev10;DEX;1;30/01/2023;30/01/2023;;;;;;;;30/01/2026;30/04/2026;Sim
DEX.044;IMS 18253 - Validade Materiais Produtos;DEX;2;24/08/2021;24/08/2021;;;;;;;;03/11/2025;02/02/2026;Sim
DEX.045;DQO-07.527 - Tracking Code Description;DEX;1;10/04/2024;06/05/2024;;;;;;;;06/05/2026;05/08/2026;Sim
DEX.046;Specs - HVAC - HMC - Clean Room for HMC Processes;DEX;1;17/01/2019;26/08/2021;;;;;;;;02/02/2026;02/05/2026;Sim
DEX.048;ISTM 01 - 002 E - Cosmetic Defect Glossary;DEX;3;10/09/2021;10/09/2021;;;;;;;;08/01/2026;08/04/2026;Sim
DEX.049;ISTM 02- 020 - Inspeção Cosmética;DEX;4;10/09/2021;10/09/2021;;;;;;;;12/09/2025;05/01/2026;Sim
DEX.050;ISTM 02 - 373 - Rx Cosmetic Inspection;DEX;1;10/09/2021;10/09/2021;;;;;;;;12/09/2025;05/01/2026;Sim
DEX.051;NBR 5426 Nb 309 01 - Planos Amostragem Procedimentos Inspeção Atributos;DEX;0;15/09/2021;15/09/2021;;;;;;;;03/06/2026;02/09/2026;Sim
DEX.052;Portaria GM MS Nº 888, de 4 de maio de 2021;DEX;0;27/09/2021;07/12/2021;;;;;;;;27/09/2025;28/11/2025;Sim
DEX.053;Programa de Proteção Respiratória - Fundacentro;DEX;0;27/09/2021;07/12/2021;;;;;;;;27/09/2025;27/12/2025;Sim
DEX.054;NR 6 - Equipamento de Proteção Individual;DEX;1;17/04/2024;18/04/2024;;;;;;;;20/04/2026;20/07/2026;Sim
DEX.055;NR 01 - Disposições Gerais e Gerenciamento de Riscos Ocupacionais;DEX;1;17/04/2024;22/08/2024;;;;;;;;21/08/2026;19/11/2026;Sim
DEX.056;Workflow Novo Produto_v2003_V10_2;DEX;10;07/10/2021;07/10/2021;;;;;;;;14/08/2026;13/11/2026;Sim
